respondent_id,age,gender,profession,education_level,years_of_experience,hospital_type,hospital_location,ai_awareness_q1,ai_awareness_q2,ai_awareness_q3,ai_awareness_q4,ai_awareness_score,privacy_q1,privacy_q2,privacy_q3,privacy_q4,privacy_score,human_factor_q1,human_factor_q2,human_factor_q3,human_factor_q4,human_factor_score,infrastructure_q1,infrastructure_q2,infrastructure_q3,infrastructure_q4,infrastructure_q5,infrastructure_score,adoption_q1,adoption_q2,adoption_q3,adoption_q4,adoption_readiness_score,adoption_readiness_category
1039,24,Male,Doctor,Postgraduate/Doctoral,3,Private,Dhaka,3.0,4.0,3.0,4.0,3.5,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.5,,4.0,5.0,5.0,4.0,4.5,5.0,5.0,5.0,5.0,5.0,High
1040,31,Male,IT Staff,Bachelor's (completed),4,Public,Chattogram,5.0,4.0,5.0,5.0,4.75,3.0,3.0,4.0,2.0,3.0,2.0,1.0,,2.0,1.6666666666666667,1.0,3.0,3.0,3.0,3.0,2.6,5.0,4.0,4.0,4.0,4.25,High
1041,35,Male,Nurse,Bachelor's (ongoing),11,Public,Semi-Urban,2.0,2.0,3.0,3.0,2.5,3.0,4.0,3.0,3.0,3.25,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,2.4,1.0,1.0,2.0,1.0,1.25,Low
1042,41,Female,Other,Bachelor's (ongoing),12,Public,Dhaka,3.0,3.0,2.0,2.0,2.5,4.0,,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.25,2.0,3.0,1.0,1.0,1.0,1.6,3.0,3.0,3.0,3.0,3.0,Medium
1043,31,Female,Healthcare Student,Bachelor's (ongoing),0,Not Applicable,Not Applicable,3.0,2.0,2.0,2.0,2.25,4.0,2.0,3.0,1.0,2.5,4.0,3.0,4.0,3.0,3.5,3.0,2.0,1.0,1.0,2.0,1.8,3.0,5.0,3.0,2.0,3.25,Medium
1044,37,Female,Nurse,Bachelor's (ongoing),13,Private,Other Urban,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,2.5,3.0,3.0,4.0,2.0,3.0,3.0,,4.0,3.0,4.0,3.5,2.0,3.0,2.0,2.0,2.25,Low
1045,44,Male,Healthcare Student,Bachelor's (ongoing),0,Public,Dhaka,2.0,1.0,2.0,2.0,1.75,4.0,5.0,5.0,5.0,4.75,3.0,4.0,4.0,4.0,3.75,4.0,3.0,5.0,4.0,3.0,3.8,3.0,3.0,2.0,2.0,2.5,Low
1046,37,Male,Other,Postgraduate/Doctoral,11,Public,Dhaka,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.25,3.0,5.0,3.0,4.0,3.75,5.0,,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.25,High
1047,29,Male,Nurse,Bachelor's (ongoing),5,Public,Rural,3.0,3.0,2.0,3.0,2.75,3.0,3.0,2.0,3.0,2.75,3.0,3.0,3.0,4.0,3.25,2.0,4.0,3.0,3.0,4.0,3.2,3.0,3.0,3.0,4.0,3.25,Medium
1048,23,Female,IT Staff,Postgraduate/Doctoral,0,Private,Not Applicable,5.0,5.0,5.0,,5.0,3.0,3.0,3.0,4.0,3.25,1.0,1.0,1.0,2.0,1.25,3.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,5.0,5.0,4.75,High
1049,44,Female,Other,Bachelor's (ongoing),17,Private,Rural,2.0,2.0,2.0,1.0,1.75,1.0,1.0,3.0,,1.6666666666666667,4.0,3.0,4.0,3.0,3.5,2.0,3.0,2.0,3.0,3.0,2.6,3.0,3.0,2.0,3.0,2.75,Medium
1050,23,Male,Nurse,Postgraduate/Doctoral,2,Private,Dhaka,5.0,5.0,5.0,4.0,4.75,5.0,5.0,5.0,4.0,4.75,1.0,2.0,1.0,2.0,1.5,3.0,4.0,,,3.0,3.3333333333333335,4.0,3.0,4.0,3.0,3.5,Medium
1051,44,Female,Healthcare Student,Bachelor's (ongoing),1,NGO/Other,Semi-Urban,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,2.75,2.0,1.0,3.0,3.0,2.0,2.2,1.0,2.0,2.0,1.0,1.5,Low
1052,35,Male,Doctor,Postgraduate/Doctoral,5,Public,Dhaka,5.0,4.0,5.0,5.0,4.75,2.0,3.0,3.0,3.0,2.75,2.0,2.0,1.0,3.0,2.0,3.0,4.0,5.0,3.0,4.0,3.8,4.0,3.0,4.0,4.0,3.75,Medium
1053,47,Male,IT Staff,Bachelor's (completed),27,Public,Chattogram,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.25,,5.0,5.0,4.0,4.666666666666667,2.0,3.0,2.0,3.0,4.0,2.8,3.0,3.0,3.0,2.0,2.75,Medium
1054,41,Male,Healthcare Student,Bachelor's (ongoing),1,Public,Semi-Urban,2.0,3.0,2.0,2.0,2.25,3.0,2.0,3.0,3.0,2.75,4.0,5.0,4.0,4.0,4.25,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.25,Low
1055,58,Male,Hospital Administrator,Postgraduate/Doctoral,36,Private,Not Applicable,3.0,3.0,2.0,2.0,2.5,4.0,2.0,4.0,3.0,3.25,4.0,3.0,4.0,4.0,3.75,4.0,,4.0,4.0,5.0,4.25,2.0,2.0,3.0,4.0,2.75,Medium
1056,31,Female,Nurse,Bachelor's (ongoing),7,Public,Chattogram,3.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.4,4.0,3.0,4.0,4.0,3.75,Medium
1057,40,Female,Hospital Administrator,Bachelor's (completed),14,Private,Chattogram,2.0,3.0,1.0,3.0,2.25,5.0,4.0,4.0,4.0,4.25,2.0,2.0,1.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,4.8,3.0,4.0,4.0,3.0,3.5,Medium
1058,32,Male,Doctor,Postgraduate/Doctoral,10,Public,Dhaka,3.0,2.0,3.0,3.0,2.75,2.0,2.0,2.0,3.0,2.25,3.0,3.0,3.0,,3.0,4.0,4.0,,5.0,5.0,4.5,4.0,5.0,4.0,4.0,4.25,High
1059,34,Male,Doctor,Postgraduate/Doctoral,6,Private,Chattogram,5.0,4.0,5.0,5.0,4.75,4.0,4.0,5.0,5.0,4.5,4.0,3.0,3.0,3.0,3.25,3.0,5.0,4.0,3.0,3.0,3.6,4.0,3.0,4.0,5.0,4.0,High
1060,37,Female,Nurse,Bachelor's (ongoing),18,Public,Dhaka,1.0,2.0,2.0,2.0,1.75,3.0,4.0,2.0,5.0,3.5,4.0,5.0,5.0,5.0,4.75,3.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,Low
1061,44,Female,Hospital Administrator,Bachelor's (ongoing),13,Public,Rural,2.0,3.0,3.0,3.0,2.75,4.0,2.0,3.0,4.0,3.25,5.0,5.0,4.0,5.0,4.75,4.0,3.0,4.0,4.0,4.0,3.8,2.0,3.0,2.0,3.0,2.5,Low
1062,52,Female,Nurse,Bachelor's (ongoing),21,Private,Dhaka,1.0,2.0,1.0,2.0,1.5,4.0,4.0,4.0,5.0,4.25,4.0,5.0,5.0,3.0,4.25,2.0,2.0,3.0,,3.0,2.5,1.0,1.0,1.0,1.0,1.0,Low
1063,40,Male,Nurse,Bachelor's (ongoing),15,Public,Semi-Urban,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.75,3.0,2.0,3.0,2.0,3.0,2.6,2.0,3.0,3.0,3.0,2.75,Medium
1064,33,Female,Healthcare Student,Bachelor's (ongoing),1,Public,Dhaka,3.0,4.0,5.0,4.0,4.0,1.0,2.0,1.0,2.0,1.5,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,Medium
1065,33,Male,Nurse,Postgraduate/Doctoral,12,Public,Chattogram,4.0,3.0,5.0,5.0,4.25,1.0,2.0,1.0,3.0,1.75,2.0,3.0,1.0,2.0,2.0,,4.0,3.0,2.0,4.0,3.25,5.0,5.0,5.0,5.0,5.0,High
1066,40,Female,Nurse,Bachelor's (completed),18,Private,Dhaka,5.0,4.0,4.0,5.0,4.5,4.0,,4.0,3.0,3.6666666666666665,3.0,3.0,3.0,4.0,3.25,3.0,4.0,1.0,4.0,4.0,3.2,3.0,2.0,3.0,3.0,2.75,Medium
1067,29,Male,Nurse,Bachelor's (completed),9,Public,Chattogram,4.0,,3.0,3.0,3.3333333333333335,2.0,4.0,4.0,5.0,3.75,4.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.8,3.0,3.0,3.0,2.0,2.75,Medium
1068,26,Female,Doctor,Postgraduate/Doctoral,2,NGO/Other,Other Urban,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.5,2.0,1.0,1.0,1.0,1.25,3.0,4.0,3.0,4.0,4.0,3.6,4.0,5.0,5.0,5.0,4.75,High
1069,31,Male,Healthcare Student,Bachelor's (ongoing),1,Not Applicable,Semi-Urban,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,3.6,3.0,4.0,4.0,3.0,3.5,Medium
1070,30,Male,Nurse,Bachelor's (completed),5,Private,Rural,3.0,2.0,,3.0,2.6666666666666665,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,2.75,,5.0,4.0,4.0,4.0,4.25,2.0,3.0,3.0,4.0,3.0,Medium
1071,30,Female,Doctor,Bachelor's (completed),5,Public,Dhaka,4.0,2.0,4.0,3.0,3.25,2.0,3.0,3.0,3.0,2.75,3.0,4.0,3.0,4.0,3.5,3.0,,4.0,4.0,4.0,3.75,3.0,3.0,3.0,3.0,3.0,Medium
1072,29,Female,Other,Bachelor's (ongoing),5,Private,Other Urban,3.0,2.0,4.0,2.0,2.75,2.0,1.0,2.0,1.0,1.5,2.0,2.0,2.0,3.0,2.25,4.0,4.0,5.0,5.0,5.0,4.6,5.0,5.0,5.0,5.0,5.0,High
1073,24,Male,Healthcare Student,Bachelor's (ongoing),0,Public,Rural,3.0,3.0,1.0,2.0,2.25,3.0,2.0,3.0,2.0,2.5,4.0,4.0,3.0,4.0,3.75,2.0,2.0,2.0,4.0,3.0,2.6,2.0,2.0,3.0,3.0,2.5,Low
1074,23,Female,Healthcare Student,Bachelor's (ongoing),1,Not Applicable,Dhaka,1.0,2.0,1.0,1.0,1.25,2.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.5,3.0,4.0,3.0,4.0,3.0,3.4,3.0,3.0,4.0,2.0,3.0,Medium
1075,53,Female,Healthcare Student,Postgraduate/Doctoral,1,Private,Rural,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.25,4.0,5.0,5.0,4.0,4.5,2.0,2.0,2.0,2.0,1.0,1.8,4.0,4.0,5.0,4.0,4.25,High
1076,33,Male,Other,Bachelor's (ongoing),11,Public,Rural,2.0,2.0,1.0,2.0,1.75,4.0,4.0,4.0,5.0,4.25,4.0,3.0,3.0,4.0,3.5,5.0,4.0,5.0,4.0,5.0,4.6,1.0,2.0,4.0,2.0,2.25,Low
1077,32,Male,Nurse,Bachelor's (completed),8,Public,Rural,1.0,2.0,1.0,1.0,1.25,3.0,2.0,2.0,2.0,2.25,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.8,4.0,3.0,3.0,5.0,3.75,Medium
1078,38,Male,Hospital Administrator,Bachelor's (ongoing),13,Private,Other Urban,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.75,4.0,5.0,5.0,5.0,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Low
1079,28,Female,Hospital Administrator,Bachelor's (completed),4,NGO/Other,Semi-Urban,3.0,2.0,3.0,2.0,2.5,4.0,4.0,3.0,4.0,3.75,2.0,2.0,3.0,,2.3333333333333335,3.0,4.0,4.0,5.0,5.0,4.2,3.0,2.0,4.0,4.0,3.25,Medium
1080,48,Male,Nurse,Bachelor's (completed),27,Private,Chattogram,2.0,3.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.25,4.0,3.0,4.0,4.0,3.75,4.0,4.0,3.0,3.0,3.0,3.4,1.0,1.0,1.0,1.0,1.0,Low
1081,41,Male,Nurse,Bachelor's (ongoing),15,Private,Other Urban,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,3.0,4.0,3.2,1.0,1.0,1.0,1.0,1.0,Low
1082,25,Female,Doctor,Postgraduate/Doctoral,2,Private,Not Applicable,3.0,3.0,3.0,2.0,2.75,3.0,4.0,3.0,4.0,3.5,2.0,3.0,2.0,2.0,2.25,3.0,2.0,3.0,3.0,3.0,2.8,4.0,4.0,4.0,2.0,3.5,Medium
1083,33,Female,IT Staff,Bachelor's (completed),7,Private,Dhaka,4.0,4.0,3.0,4.0,3.75,2.0,3.0,3.0,2.0,2.5,1.0,1.0,1.0,2.0,1.25,4.0,5.0,4.0,4.0,,4.25,4.0,4.0,4.0,5.0,4.25,High
1084,44,Female,Healthcare Student,Bachelor's (ongoing),0,Not Applicable,Rural,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.5,1.0,2.0,2.0,1.0,2.0,1.6,2.0,2.0,1.0,2.0,1.75,Low
1085,48,Female,Healthcare Student,Bachelor's (completed),0,Private,Chattogram,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.25,2.0,4.0,3.0,4.0,3.25,3.0,2.0,3.0,3.0,3.0,2.8,5.0,5.0,3.0,4.0,4.25,High
1086,34,Female,Nurse,Bachelor's (completed),9,Private,Dhaka,4.0,4.0,5.0,4.0,4.25,3.0,2.0,2.0,2.0,2.25,3.0,3.0,4.0,4.0,3.5,3.0,4.0,4.0,3.0,2.0,3.2,4.0,5.0,4.0,4.0,4.25,High
1087,37,Female,Doctor,Postgraduate/Doctoral,7,NGO/Other,Other Urban,5.0,4.0,3.0,4.0,4.0,3.0,2.0,,3.0,2.6666666666666665,3.0,3.0,3.0,4.0,3.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.75,Medium
1088,27,Female,Nurse,Bachelor's (completed),2,Public,Semi-Urban,4.0,4.0,5.0,,4.333333333333333,1.0,1.0,2.0,1.0,1.25,4.0,5.0,5.0,5.0,4.75,3.0,2.0,3.0,3.0,3.0,2.8,3.0,2.0,2.0,2.0,2.25,Low
1089,54,Male,Hospital Administrator,Postgraduate/Doctoral,14,Public,Other Urban,4.0,3.0,4.0,4.0,3.75,3.0,3.0,5.0,4.0,3.75,3.0,3.0,3.0,4.0,3.25,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,3.5,Medium
1090,29,Male,Other,Bachelor's (ongoing),1,Public,Semi-Urban,3.0,2.0,2.0,2.0,2.25,5.0,4.0,4.0,4.0,4.25,2.0,4.0,2.0,,2.6666666666666665,4.0,3.0,3.0,3.0,4.0,3.4,1.0,1.0,2.0,2.0,1.5,Low
1091,48,Male,Healthcare Student,Bachelor's (ongoing),0,Private,Dhaka,3.0,3.0,1.0,2.0,2.25,4.0,3.0,2.0,5.0,3.5,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.5,Medium
1092,37,Female,Other,Bachelor's (completed),9,Private,Rural,4.0,4.0,4.0,4.0,4.0,,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,3.75,4.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,4.25,High
1093,36,Male,Healthcare Student,Bachelor's (ongoing),0,Public,Other Urban,2.0,3.0,2.0,1.0,2.0,3.0,2.0,5.0,4.0,3.5,,4.0,3.0,4.0,3.6666666666666665,4.0,3.0,4.0,2.0,3.0,3.2,2.0,2.0,3.0,2.0,2.25,Low
1094,34,Male,Other,Bachelor's (ongoing),7,Private,Semi-Urban,2.0,,2.0,1.0,1.6666666666666667,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.6,3.0,3.0,4.0,4.0,3.5,Medium
1095,29,Female,Nurse,Postgraduate/Doctoral,5,Public,Dhaka,4.0,4.0,4.0,5.0,4.25,1.0,2.0,3.0,1.0,1.75,2.0,3.0,3.0,3.0,2.75,4.0,5.0,5.0,4.0,5.0,4.6,5.0,5.0,5.0,4.0,4.75,High
1096,27,Male,Doctor,Postgraduate/Doctoral,2,NGO/Other,Chattogram,3.0,2.0,3.0,3.0,2.75,5.0,4.0,3.0,3.0,3.75,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,4.2,5.0,4.0,5.0,4.0,4.5,High
1097,28,Male,Doctor,Postgraduate/Doctoral,6,Private,Rural,1.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.25,5.0,4.0,5.0,5.0,5.0,4.8,4.0,5.0,3.0,5.0,4.25,High
1098,28,Female,Nurse,Bachelor's (completed),6,Private,Dhaka,3.0,4.0,3.0,4.0,3.5,2.0,2.0,2.0,1.0,1.75,3.0,3.0,3.0,4.0,3.25,5.0,4.0,4.0,5.0,,4.5,3.0,4.0,5.0,5.0,4.25,High
1099,41,Female,Nurse,Bachelor's (completed),19,Private,Chattogram,4.0,4.0,3.0,3.0,3.5,1.0,2.0,3.0,1.0,1.75,4.0,2.0,2.0,3.0,2.75,3.0,3.0,3.0,3.0,4.0,3.2,5.0,5.0,4.0,5.0,4.75,High
1100,31,Male,Doctor,Postgraduate/Doctoral,4,Public,Semi-Urban,4.0,4.0,3.0,4.0,3.75,1.0,1.0,2.0,1.0,1.25,3.0,1.0,2.0,3.0,2.25,1.0,1.0,1.0,1.0,2.0,1.2,3.0,3.0,3.0,4.0,3.25,Medium
1101,24,Male,Other,Bachelor's (completed),2,Private,Semi-Urban,4.0,5.0,,4.0,4.333333333333333,2.0,2.0,,2.0,2.0,1.0,2.0,1.0,3.0,1.75,2.0,3.0,2.0,3.0,2.0,2.4,3.0,3.0,5.0,3.0,3.5,Medium
1102,50,Male,Doctor,Bachelor's (completed),15,Private,Rural,1.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.5,4.0,3.0,2.0,2.0,2.75,4.0,4.0,3.0,4.0,3.0,3.6,3.0,2.0,3.0,3.0,2.75,Medium
1103,44,Female,Other,Secondary/HSC,11,Public,Semi-Urban,2.0,1.0,1.0,1.0,1.25,3.0,3.0,2.0,,2.6666666666666665,,3.0,4.0,3.0,3.3333333333333335,3.0,1.0,3.0,4.0,3.0,2.8,4.0,4.0,4.0,4.0,4.0,High
1104,47,Female,Healthcare Student,Bachelor's (completed),1,Not Applicable,Not Applicable,3.0,,3.0,2.0,2.6666666666666665,2.0,5.0,2.0,2.0,2.75,3.0,3.0,2.0,3.0,2.75,3.0,4.0,3.0,2.0,2.0,2.8,4.0,4.0,4.0,3.0,3.75,Medium
1105,56,Male,IT Staff,Postgraduate/Doctoral,20,Public,Chattogram,2.0,2.0,4.0,3.0,2.75,5.0,5.0,4.0,4.0,4.5,3.0,3.0,2.0,1.0,2.25,1.0,2.0,1.0,1.0,2.0,1.4,2.0,3.0,2.0,1.0,2.0,Low
1106,27,Female,IT Staff,Bachelor's (completed),8,Private,Other Urban,4.0,,4.0,3.0,3.6666666666666665,3.0,3.0,4.0,4.0,3.5,3.0,2.0,2.0,3.0,2.5,4.0,4.0,,4.0,3.0,3.75,3.0,3.0,3.0,3.0,3.0,Medium
1107,32,Male,Nurse,Bachelor's (ongoing),2,Public,Rural,1.0,2.0,1.0,1.0,1.25,3.0,3.0,4.0,4.0,3.5,4.0,4.0,4.0,3.0,3.75,3.0,2.0,1.0,2.0,1.0,1.8,2.0,2.0,1.0,2.0,1.75,Low
1108,40,Male,IT Staff,Bachelor's (completed),12,Private,Semi-Urban,3.0,4.0,4.0,4.0,3.75,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.5,1.0,2.0,2.0,3.0,3.0,2.2,3.0,4.0,2.0,4.0,3.25,Medium
1109,38,Other/Prefer not to say,Doctor,Postgraduate/Doctoral,11,Public,Dhaka,5.0,5.0,4.0,5.0,4.75,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,3.75,4.0,3.0,4.0,4.0,3.0,3.6,4.0,5.0,4.0,5.0,4.5,High
1110,27,Male,Other,Bachelor's (completed),1,Public,Dhaka,3.0,1.0,,3.0,2.3333333333333335,1.0,2.0,3.0,1.0,1.75,4.0,3.0,3.0,4.0,3.5,3.0,4.0,2.0,2.0,2.0,2.6,4.0,4.0,3.0,3.0,3.5,Medium
1111,42,Male,Nurse,Bachelor's (ongoing),19,Private,Other Urban,4.0,3.0,3.0,3.0,3.25,3.0,3.0,2.0,2.0,2.5,3.0,4.0,4.0,2.0,3.25,2.0,2.0,2.0,3.0,2.0,2.2,3.0,4.0,4.0,3.0,3.5,Medium
1112,29,Male,Nurse,Bachelor's (completed),4,Not Applicable,Rural,3.0,3.0,2.0,3.0,2.75,2.0,2.0,3.0,3.0,2.5,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.6,5.0,5.0,4.0,5.0,4.75,High
1113,29,Female,IT Staff,Bachelor's (completed),2,Public,Other Urban,2.0,2.0,3.0,2.0,2.25,1.0,1.0,1.0,,1.0,2.0,2.0,3.0,3.0,2.5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.5,Medium
1114,35,Female,IT Staff,Postgraduate/Doctoral,12,Private,Semi-Urban,4.0,3.0,3.0,3.0,3.25,3.0,3.0,3.0,2.0,2.75,2.0,3.0,2.0,,2.3333333333333335,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.75,Medium
1115,36,Other/Prefer not to say,Nurse,Bachelor's (ongoing),7,Private,Semi-Urban,2.0,2.0,3.0,2.0,2.25,4.0,4.0,4.0,5.0,4.25,3.0,3.0,3.0,4.0,3.25,4.0,5.0,,4.0,4.0,4.25,3.0,3.0,3.0,2.0,2.75,Medium
1116,36,Male,IT Staff,Postgraduate/Doctoral,10,Private,Dhaka,4.0,3.0,3.0,3.0,3.25,3.0,4.0,3.0,3.0,3.25,1.0,2.0,1.0,1.0,1.25,3.0,3.0,2.0,3.0,3.0,2.8,4.0,3.0,4.0,3.0,3.5,Medium
1117,25,Male,Doctor,Postgraduate/Doctoral,0,Public,Other Urban,5.0,4.0,4.0,5.0,4.5,3.0,4.0,4.0,3.0,3.5,2.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.8,4.0,4.0,3.0,5.0,4.0,High
1118,44,Female,IT Staff,Bachelor's (completed),16,Private,Other Urban,5.0,4.0,5.0,5.0,4.75,3.0,3.0,3.0,4.0,3.25,3.0,2.0,2.0,3.0,2.5,2.0,2.0,2.0,2.0,3.0,2.2,3.0,3.0,4.0,3.0,3.25,Medium
1119,29,Male,Nurse,Bachelor's (ongoing),2,Not Applicable,Dhaka,1.0,1.0,3.0,1.0,1.5,4.0,4.0,4.0,5.0,4.25,3.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.6,3.0,3.0,3.0,3.0,3.0,Medium
1120,26,Female,Nurse,Bachelor's (completed),6,Public,Chattogram,2.0,4.0,4.0,4.0,3.5,2.0,1.0,2.0,2.0,1.75,5.0,3.0,4.0,3.0,3.75,4.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.25,Medium
1121,45,Female,Doctor,Postgraduate/Doctoral,18,Public,Other Urban,3.0,2.0,3.0,3.0,2.75,3.0,2.0,4.0,2.0,2.75,2.0,3.0,3.0,2.0,2.5,3.0,2.0,2.0,3.0,3.0,2.6,4.0,3.0,4.0,4.0,3.75,Medium
1122,49,Male,Nurse,Bachelor's (ongoing),23,NGO/Other,Semi-Urban,2.0,1.0,1.0,1.0,1.25,5.0,5.0,5.0,4.0,4.75,4.0,5.0,5.0,4.0,4.5,3.0,3.0,2.0,2.0,2.0,2.4,2.0,1.0,1.0,1.0,1.25,Low
1123,43,Female,Nurse,Bachelor's (completed),22,Public,Chattogram,2.0,4.0,3.0,4.0,3.25,3.0,3.0,4.0,3.0,3.25,2.0,1.0,1.0,1.0,1.25,4.0,4.0,4.0,4.0,2.0,3.6,4.0,4.0,4.0,4.0,4.0,High
1124,42,Male,Nurse,Bachelor's (completed),10,Public,Dhaka,3.0,2.0,5.0,4.0,3.5,2.0,3.0,3.0,3.0,2.75,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.2,4.0,4.0,5.0,4.0,4.25,High
1125,38,Male,Doctor,Postgraduate/Doctoral,14,Public,Chattogram,2.0,3.0,2.0,2.0,2.25,4.0,4.0,3.0,4.0,3.75,1.0,2.0,1.0,2.0,1.5,4.0,4.0,,4.0,3.0,3.75,3.0,3.0,3.0,4.0,3.25,Medium
1126,35,Female,Doctor,Bachelor's (ongoing),6,Private,Semi-Urban,3.0,2.0,3.0,2.0,2.5,3.0,2.0,3.0,2.0,2.5,4.0,,4.0,3.0,3.6666666666666665,4.0,4.0,5.0,3.0,5.0,4.2,4.0,4.0,4.0,5.0,4.25,High
1127,25,Male,Hospital Administrator,Bachelor's (completed),3,NGO/Other,Other Urban,3.0,,3.0,2.0,2.6666666666666665,2.0,2.0,3.0,2.0,2.25,2.0,3.0,3.0,2.0,2.5,3.0,2.0,1.0,2.0,3.0,2.2,2.0,3.0,3.0,1.0,2.25,Low
1128,32,Female,Doctor,Bachelor's (completed),14,Private,Dhaka,5.0,3.0,3.0,2.0,3.25,2.0,2.0,3.0,2.0,2.25,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,3.25,Medium
1129,32,Female,IT Staff,Postgraduate/Doctoral,10,Private,Rural,,5.0,5.0,5.0,5.0,3.0,,2.0,2.0,2.3333333333333335,3.0,2.0,2.0,2.0,2.25,3.0,4.0,2.0,4.0,4.0,3.4,4.0,5.0,4.0,4.0,4.25,High
1130,29,Other/Prefer not to say,Other,Postgraduate/Doctoral,6,Public,Dhaka,5.0,4.0,4.0,5.0,4.5,2.0,4.0,4.0,3.0,3.25,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.6,5.0,4.0,5.0,5.0,4.75,High
1131,39,Other/Prefer not to say,Nurse,Bachelor's (ongoing),16,Public,Dhaka,4.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,4.5,3.0,4.0,3.0,4.0,3.5,3.0,3.0,3.0,4.0,3.0,3.2,3.0,2.0,3.0,2.0,2.5,Low
1132,34,Male,Other,Bachelor's (ongoing),10,Public,Chattogram,3.0,2.0,1.0,,2.0,3.0,3.0,2.0,2.0,2.5,3.0,4.0,3.0,3.0,3.25,4.0,2.0,1.0,2.0,2.0,2.2,4.0,4.0,3.0,3.0,3.5,Medium
1133,25,Male,Doctor,Bachelor's (completed),1,Public,Semi-Urban,4.0,3.0,3.0,4.0,3.5,3.0,2.0,3.0,3.0,2.75,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,,2.75,2.0,2.0,2.0,3.0,2.25,Low
